excolo, honor
excrucio, torment
excusatio, excuse
excuso, exempt
exemplar, model
exemplum, pattern
exerceo, train
exercitus, army
exertus, tested
exesto, extra
exheredo, disinherit
exheres, disinherited
exhibeo exibeo, produce
exhibeo, show
exhilaro, make
exhorresco, be
exigo, drive
exigo, complete
exilis, thin
eximietate, uncommonness
eximius, extraordinary
eximo, free
exinde, thence
exitiabilis, fatal
exitialis, fatal
exitosus, fatal
exitium, destruction
exitus, going
exordium, the
exorior, rise
exoro, prevail
exorsus, begun
expedio, release
expello, drive
expers, wanting
expetens, desirous
expeto, fall
expeto, demand
expilatio, plundering
expiscor, fish
expleo, make
expleo, fill
expletum, fill
expletio, satisfying
explicatus, explanation
explico, unfold
expono, set
expositus, open
expostulo, demand
expugno, capture
exquisitus, sought
exequor, follow
exsequor, maintain
exsequor, execute
exertus, project
exsilium, exile
exspecto, look
exsto, stand
externus, outer
extollo, praise
extollo, lift
extorqueo, twist
extra, outside
extremus, outermost
exturbo, drive
exulto, exult
exuro, exussum
exustio, burning
fabula, fable
facile, easily
facilis, easy
facillimus, easiest
facina, bad
facio, sacrifice
facio, give
factum, deed
facultas, power
facundia, facultas
facunditas, fertility
fenum, hay
falsus, false
fama, talk
familia, family
familiaris, belonging
famulatus, servitude
famulus, servant
fas, divine
fateor, confess
fatigo, worry
fatum, fate
fautor, favorer
faveo, help
feculentia, dregs
fefello, be
feliciter, happily
felix felicis, lucky
femina, woman
fenestra, window
fere, almost
feretrum, bier
feritas, wildness
ferme, fere
ferrum, iron
ferus, fierce
festinatio, speed
festino, hasten
festinus, hastening
feteo, have
fiat, becomes
ficus, fig
fidelis, faithful
fidelitas, fidelity
fidens, confident
fides, trust
fides, promise
fiducia, confidence
filia, daughter
filius, son
fimus, dung
fines, boundaries
finis, end
finitimus, neighboring
fio, fieri
firmo, assert
firmus, firm
flamma, flame
flatus, blowing
flax, falcis
fleo, weep
fluctus, billow
flumen, river
fluo, flow
fodio, prick
fore, forem
forensis, legal
forma, shape
formica, ant
formo, shape
fors, chance
fortis, chance
forsit, perhaps
forsitan, perhaps
fortasse, perhaps
forte, by
fortis, strong
fortiter, strongly
fortitudo, physical
fortuna, fortune
fortunate, fortunately
fortunatus, fortunate
forum, market
foveo, cherish
frango, break
frater, brother
frendo, gnash
frendo, gnash
frequentatio, frequency
frequentia, population
frequento, crowd
frigus, cold
frons, forehead
fructuarius, fruitful
fructus, fruit
frugalitas, frugality
frumentum, grain
fruor, have
frustra, in
frux, frugi
fuga, flight
fugio, flee
fugitivus, fugitive
fugo, put
fulcio, support
fulgeo, shine
fultus, supporter
fundo, pour
fundo, defeat
funis, rope
furibundus, raging
furor, madness
furs, thief
furtificus, thievish
furtim, by
furtum, theft
galea, helmet
gaudium, joy
gemo, sigh
gens, clan
genus, kind
gero, carry
gesto, carry
gestum, carrying
gigno, bring
glacialis, icy
gladius, sword
gloria, fame
glorior, glory
grassor, go
gratia agere, 
gratia, gratitude
gratia, in
gratulor, wish
gratus, pleasing
gravatus, sick
gravis, heavy
gravitas, weight
graviter, heavily
gravo, oppress
gregatim, in
gregatim, adv
