0:3:27  0:0:0  0  Mash-tun  142.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat off, status -1 mix 1

0:3:30  0:0:0  0  Mash-tun  142.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:33  0:0:0  0  Mash-tun  142.3 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:36  0:0:0  0  Mash-tun  142.3 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:39  0:0:0  0  Mash-tun  142.3 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:42  0:0:0  0  Mash-tun  142.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:45  0:0:0  0  Mash-tun  142.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:48  0:0:0  0  Mash-tun  142.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:51  0:0:0  0  Mash-tun  142.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:54  0:0:0  0  Mash-tun  142.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:57  0:0:0  0  Mash-tun  142.6 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:4:0  0:0:0  0  Mash-tun  142.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:4:3  0:0:0  0  Mash-tun  142.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:4:6  0:0:0  0  Mash-tun  142.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status 0 mix 0

Low temp - turning on the burner.

0:4:9  0:0:0  0  Mash-tun  142.8 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:12  0:0:0  0  Mash-tun  142.8 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:15  0:0:0  0  Mash-tun  142.8 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:18  0:0:0  0  Mash-tun  142.9 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:21  0:0:0  0  Mash-tun  142.9 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:24  0:0:0  0  Mash-tun  143.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:27  0:0:0  0  Mash-tun  143.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:30  0:0:0  0  Mash-tun  143.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:33  0:0:0  0  Mash-tun  143.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:36  0:0:0  0  Mash-tun  143.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:39  0:0:0  0  Mash-tun  143.3 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:42  0:0:0  0  Mash-tun  143.3 F, Target: 145.0 F, Pump on, status 3   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

