0:3:18  0:0:0  -1  Mash-tun  140.0 F, Target: 154.0 F, Pump on, status 3   HLT  160.1 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:21  0:0:0  -1  Mash-tun  139.8 F, Target: 154.0 F, Pump on, status 3   HLT  160.3 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:24  0:0:0  -1  Mash-tun  139.7 F, Target: 154.0 F, Pump on, status 3   HLT  160.5 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:27  0:0:0  -1  Mash-tun  139.5 F, Target: 154.0 F, Pump on, status 3   HLT  160.7 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:30  0:0:0  -1  Mash-tun  139.3 F, Target: 154.0 F, Pump on, status 3   HLT  160.8 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:33  0:0:0  -1  Mash-tun  139.2 F, Target: 154.0 F, Pump on, status 3   HLT  160.9 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:36  0:0:0  -1  Mash-tun  139.0 F, Target: 154.0 F, Pump on, status 3   HLT  161.0 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:39  0:0:0  -1  Mash-tun  138.9 F, Target: 154.0 F, Pump on, status 3   HLT  161.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:42  0:0:0  -1  Mash-tun  138.8 F, Target: 154.0 F, Pump on, status 3   HLT  161.4 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:45  0:0:0  -1  Mash-tun  138.5 F, Target: 154.0 F, Pump on, status 3   HLT  161.5 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:48  0:0:0  -1  Mash-tun  138.5 F, Target: 154.0 F, Pump on, status 3   HLT  161.6 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:51  0:0:0  -1  Mash-tun  138.3 F, Target: 154.0 F, Pump on, status 3   HLT  161.7 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:54  0:0:0  -1  Mash-tun  138.0 F, Target: 154.0 F, Pump on, status 3   HLT  162.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:3:57  0:0:0  -1  Mash-tun  138.1 F, Target: 154.0 F, Pump on, status 3   HLT  162.2 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:0  0:0:0  -1  Mash-tun  137.9 F, Target: 154.0 F, Pump on, status 3   HLT  162.3 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:3  0:0:0  -1  Mash-tun  137.6 F, Target: 154.0 F, Pump on, status 3   HLT  162.4 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:6  0:0:0  -1  Mash-tun  137.3 F, Target: 154.0 F, Pump on, status 3   HLT  162.6 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:9  0:0:0  -1  Mash-tun  137.4 F, Target: 154.0 F, Pump on, status 3   HLT  162.8 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:12  0:0:0  -1  Mash-tun  137.0 F, Target: 154.0 F, Pump on, status 3   HLT  163.0 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:15  0:0:0  -1  Mash-tun  136.9 F, Target: 154.0 F, Pump on, status 3   HLT  163.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:18  0:0:0  -1  Mash-tun  136.7 F, Target: 154.0 F, Pump on, status 3   HLT  163.2 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:21  0:0:0  -1  Mash-tun  136.6 F, Target: 154.0 F, Pump on, status 3   HLT  163.4 F, Target: 164.0 F, Heat on, status 1 mix 0
0:4:24  0:0:0  -1  Mash-tun  136.6 F, Target: 154.0 F, Pump on, status 3   HLT  163.5 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:27  0:0:0  -1  Mash-tun  136.4 F, Target: 154.0 F, Pump on, status 3   HLT  163.6 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:30  0:0:0  -1  Mash-tun  136.3 F, Target: 154.0 F, Pump on, status 3   HLT  163.8 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:33  0:0:0  -1  Mash-tun  135.6 F, Target: 154.0 F, Pump on, status 3   HLT  164.0 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:36  0:0:0  -1  Mash-tun  135.2 F, Target: 154.0 F, Pump on, status 3   HLT  164.1 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:39  0:0:0  -1  Mash-tun  134.5 F, Target: 154.0 F, Pump on, status 3   HLT  164.2 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:42  0:0:0  -1  Mash-tun  135.3 F, Target: 154.0 F, Pump on, status 3   HLT  164.4 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:45  0:0:0  -1  Mash-tun  135.0 F, Target: 154.0 F, Pump on, status 3   HLT  164.5 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:48  0:0:0  -1  Mash-tun  134.8 F, Target: 154.0 F, Pump on, status 3   HLT  164.6 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:51  0:0:0  -1  Mash-tun  134.7 F, Target: 154.0 F, Pump on, status 3   HLT  164.8 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:54  0:0:0  -1  Mash-tun  134.5 F, Target: 154.0 F, Pump on, status 3   HLT  165.0 F, Target: 164.0 F, Heat off, status -1 mix 0
0:4:57  0:0:0  -1  Mash-tun  134.3 F, Target: 154.0 F, Pump on, status 3   HLT  165.1 F, Target: 164.0 F, Heat off, status -1 mix 0
0:5:0  0:0:0  -1  Mash-tun  134.4 F, Target: 154.0 F, Pump on, status 3   HLT  165.3 F, Target: 164.0 F, Heat off, status -1 mix 0
